date,time,persons,messages,lab_minutes,week
2019-03-12,17:49:00,x4, Ya estamos del otro lado 🙌🏻👌🏻,691,11
2019-03-12,17:49:00,x4, Jajajaja,691,11
2019-03-12,17:50:00,x4, <Multimedia omitido>,692,11
2019-03-12,17:50:00,x5, 🥺,692,11
2019-03-12,17:50:00,x6, Afirmativo,692,11
2019-03-12,17:52:00,x2, Pero tu jefa es Lucy,694,11
2019-03-12,17:53:00,x6, Jajajaja,695,11
2019-03-12,17:53:00,x5, 🥺😰,695,11
2019-03-12,17:53:00,x4, <Multimedia omitido>,695,11
2019-03-12,17:53:00,x6, Jajajaja,695,11
2019-03-12,17:53:00,x4, Si Hugo no va menos ella,695,11
2019-03-12,17:54:00,x6, Pero puede q les ponga curso,696,11
2019-03-12,17:54:00,x4, Creo aparte dijo algo de ir a correr en montaña es estás mini vacaciones,696,11
2019-03-12,17:54:00,x6, Jajaja,696,11
2019-03-12,17:54:00,x4, <Multimedia omitido>,696,11
2019-03-12,17:54:00,x2, Se están peleando!!! 😱😱,696,11
2019-03-12,17:54:00,x6, Escuché q le puso curso a hugo el lunes de puente,696,11
2019-03-12,17:54:00,x4, <Multimedia omitido>,696,11
2019-03-12,17:55:00,x4, Le mandara este👉🏻,697,11
2019-03-12,17:55:00,x4, <Multimedia omitido>,697,11
2019-03-12,17:56:00,x3, <Multimedia omitido>,698,11
2019-03-12,17:56:00,x3, Cuando nos dicen que quieren que trabajemos en días santos,698,11
2019-03-12,17:56:00,x6, Jajajaja,698,11
2019-03-12,17:57:00,x5, (ง •̀_•́)ง,699,11
2019-03-12,17:58:00,x6," No creo q la pregunta sea si trabajaremos jueves y viernes santo, mas bien",700,11
2019-03-12,18:00:00,x5, <Multimedia omitido>,702,11
2019-03-12,18:00:00,x6, Jajajaja,702,11
2019-03-12,18:01:00,x6, @5215548788768 deberíamos conseguir al menos un día,703,11
2019-03-12,18:02:00,x6," By the way, se extiende el equipo, el próximo martes entra rodrigo a Analytics",704,11
2019-03-12,18:04:00,x3, Sería una joya❤️,706,11
2019-03-13,13:12:00,x4, @5215521392914  @5215525638294  a qué hora se comerá???,414,11
2019-03-13,13:12:00,x5, 🥺 muero de hambre,414,11
2019-03-13,13:13:00,x2, Cesar no comerá con nosotros,415,11
2019-03-13,13:13:00,x2, Tons ya quieren comer?,415,11
2019-03-13,13:13:00,x5," yo los espero, sólo me gusta ser dramático ",415,11
2019-03-13,13:14:00,x4, Y @5215525638294,416,11
2019-03-13,13:21:00,x2, ???,423,11
2019-03-13,13:22:00,x5, 🖖🐷,424,11
2019-03-13,13:27:00,x4, <Multimedia omitido>,429,11
2019-03-13,13:27:00,x1, Yo digo que ya deberíamos ir,429,11
2019-03-13,13:29:00,x2, Pos vamos,431,11
2019-03-13,13:33:00,x6, Ya tengo tiempo de comer,435,11
2019-03-13,13:33:00,x5, vamooooosssssss,435,11
2019-03-13,13:34:00,x4, Vamooos,436,11
2019-03-13,13:34:00,x2, V,436,11
2019-03-13,13:34:00,x6, Voy a subir por mi comida,436,11
2019-03-13,13:34:00,x5, @5215522630940 no me deja ir a comer ToT,436,11
2019-03-13,13:34:00,x4, <Multimedia omitido>,436,11
2019-03-13,13:35:00,x5, 🥺😵,437,11
2019-03-13,17:13:00,x4, Creo que hoy nos quedamos,655,11
2019-03-13,17:13:00,x4, <Multimedia omitido>,655,11
2019-03-13,17:13:00,x4, <Multimedia omitido>,655,11
2019-03-13,17:13:00,x4, <Multimedia omitido>,655,11
2019-03-13,17:14:00,x2, De plano?,656,11
2019-03-13,17:15:00,x5, 🥺,657,11
2019-03-13,17:15:00,x5, sí,657,11
2019-03-13,17:16:00,x1, 😟,658,11
2019-03-13,17:19:00,x5, <Multimedia omitido>,661,11
2019-03-13,17:25:00,x2, Espero sobrevivan,667,11
2019-03-13,17:26:00,x5, no lloren por mí,668,11
2019-03-13,17:26:00,x5, * por nosotros (ya estamos muertos),668,11
2019-03-13,17:35:00,x4, <Multimedia omitido>,677,11
2019-03-13,17:35:00,x2, 😂😂😂,677,11
2019-03-13,17:35:00,x2, Sólo salimos Jesús y yo,677,11
2019-03-13,17:36:00,x2, Cesar también se quedo,678,11
2019-03-13,18:34:00,x6, No tengo Pokémon go!!!!,736,11
2019-03-13,18:35:00,x3, Descárgalo! 😂,737,11
2019-03-13,18:35:00,x6, 😓,737,11
2019-03-13,18:36:00,x4, jajajaja,738,11
2019-03-13,18:36:00,x4, se te dijoooo,738,11
2019-03-13,18:36:00,x6, Todo esto es culpa de @5215548788768,738,11
2019-03-13,18:59:00,x2, Por?,761,11
2019-03-13,18:59:00,x2, Ahora que hice?,761,11
2019-03-13,22:07:00,x4, <Multimedia omitido>,949,11
2019-03-13,22:08:00,x2, 😂😂😂,950,11
2019-03-13,22:08:00,x5, Y nosotros hasta que salimos de la oficina ,950,11
2019-03-13,22:09:00,x4, <Multimedia omitido>,951,11
2019-03-13,22:11:00,x4, Nosotros venimos riendo con puro meme,953,11
2019-03-14,13:16:00,x4, compitas!,418,11
2019-03-14,13:16:00,x4, vamos a comer de una???,418,11
2019-03-14,13:17:00,x4, no habia visto la hora T_T,419,11
2019-03-14,13:17:00,x5, Vamos,419,11
2019-03-14,13:20:00,x6, Cuando gusten,422,11
2019-03-19,13:46:00,x2, Ya a comer!!!!,448,12
2019-03-19,13:46:00,x2, Jeje,448,12
2019-03-19,13:51:00,x6, Kike Joany los esperamos en el comedor,453,12
2019-03-19,14:13:00,x4, Chi,475,12
2019-03-20,14:44:00,x4, <Multimedia omitido>,506,12
2019-03-20,14:58:00,x2, Ese no está chido 😂😂😂,520,12
2019-03-20,15:04:00,x4, <Multimedia omitido>,526,12
2019-03-20,15:05:00,x2, El otro estaba mejor jeje,527,12
2019-03-20,15:05:00,x6, Ese sí está chiiiiiido!!,527,12
2019-03-20,15:38:00,x5," Ah nu ma, yo quiero aprender a hacerlos ",560,12
2019-03-20,21:22:00,x4, <Multimedia omitido>,904,12
2019-03-20,21:22:00,x2, 😂😂😂😂,904,12
2019-03-20,21:22:00,x2, Ese si esta chiduuu,904,12
2019-03-20,21:22:00,x5, 😂,904,12
2019-03-22,07:59:00,x4, @5215521392914 recomiéndame un buen vino tinto 👌🏻,101,12
2019-03-22,08:00:00,x6, A mi me gustan los merlot,102,12
2019-03-22,08:00:00,x6, Son dulces,102,12
2019-03-22,08:01:00,x4, Si a mi también pero alguna márca en especial? Que no sea concha y toro?,103,12
2019-03-22,08:02:00,x4, O Casillero,104,12
2019-03-22,08:02:00,x6, Yo lo q hago es buscar las botellas que tienen un logo dorado,104,12
2019-03-22,08:03:00,x6, Q dice q ganaron premios o q dan puntos del club no se q,105,12
2019-03-22,08:03:00,x6, Esos son muy buenos,105,12
2019-03-22,08:03:00,x6, Y hay baratos,105,12
2019-03-22,08:03:00,x6, Uno q me gusta es el beringer,105,12
2019-03-22,08:04:00,x6, O el cousino macul,106,12
2019-03-22,08:11:00,x4, Ahhhh👌🏻👌🏻,113,12
2019-03-22,08:12:00,x4, Si no te hubieras quedado dormido!😒😒,114,12
2019-03-22,08:12:00,x4, <Multimedia omitido>,114,12
2019-03-22,08:40:00,x6, Chiiiido!!,142,12
2019-03-22,08:42:00,x6, Estan en el 10?,144,12
2019-03-22,08:47:00,x2, No,149,12
2019-03-22,08:48:00,x4, No,150,12
2019-03-22,09:05:00,x4," Amigos, no resistimos el hambre 😢",167,12
2019-03-22,09:05:00,x4, Comenzaremos,167,12
2019-03-22,09:05:00,x4, <Multimedia omitido>,167,12
2019-03-22,09:08:00,x2, 😂😂😂,170,12
2019-03-22,09:12:00,x5, <Multimedia omitido>,174,12
2019-03-25,17:26:00,x4, No se van en el camión @5215548788768  @5215521392914 ?,668,13
2019-03-25,18:15:00,x6, Nop,717,13
2019-03-25,18:15:00,x6, Vamos saliendo de junta,717,13
2019-03-25,18:16:00,x4, <Multimedia omitido>,718,13
2019-03-25,18:21:00,x3, Yo sigo aquí...,723,13
2019-03-25,18:22:00,x5, 🥺,724,13
2019-03-25,20:14:00,x3, Apenas salí,836,13
2019-03-25,20:14:00,x3, Kill me please,836,13
2019-03-25,20:14:00,x1, ¡Guerrero!,836,13
2019-03-25,20:15:00,x3," Traigo ojos de drogo sin ser drogo, no esta padre",837,13
2019-03-25,20:15:00,x6, Jajajaja sorry,837,13
2019-03-25,20:15:00,x6, Así vamos a quedar en Analytics en estos días,837,13
2019-03-25,20:16:00,x3, Espero les sea leve...,838,13
2019-03-25,21:32:00,x5, 🥺,914,13
2019-03-27,20:07:00,x4, Compis!!,829,13
2019-03-27,20:07:00,x4, El viernes si haremos algo para despedir a @5215525638294  o queso???,829,13
2019-03-27,20:07:00,x4, Digo por qué ya se puede ir armando el plan,829,13
2019-03-27,21:17:00,x6, Yo digo q sí,899,13
2019-03-27,21:17:00,x6, Q se te antoja kike?,899,13
2019-03-27,21:27:00,x3," Vamos a la mexicana por unas costillas, que les parece?",909,13
2019-03-27,21:28:00,x3," BTW, apenas voy a salir",910,13
2019-03-27,21:40:00,x5, Va va 👌,922,13
2019-03-27,21:40:00,x5, 🥺,922,13
2019-03-27,21:43:00,x6, Q mal plan!!,925,13
2019-03-27,21:43:00,x3, <Multimedia omitido>,925,13
2019-03-27,21:43:00,x6, Me parece bien!!,925,13
2019-03-27,22:38:00,x7, 😱,980,13
2019-03-28,13:30:00,x4, A comer!!!,432,13
2019-03-28,13:31:00,x5, 🐷👌,433,13
2019-03-28,13:37:00,x3, Los alcanzo,439,13
2019-03-28,13:40:00,x4, Va,442,13
2019-03-28,14:10:00,x5, https,472,13
2019-03-28,14:17:00,x5, https,479,13
2019-03-28,14:27:00,x4, <Multimedia omitido>,489,13
2019-03-28,21:10:00,x2," Amigos, avisan cuando estén en sus casas",892,13
2019-03-28,21:11:00,x4, <Multimedia omitido>,893,13
2019-03-28,21:28:00,x1, ¿Ya llegaron?,910,13
2019-03-28,21:28:00,x1, Yo llegue hace como 20 min,910,13
2019-03-28,21:29:00,x7, Yaaaa,911,13
2019-03-28,21:29:00,x1, 👌🏽,911,13
2019-03-28,21:33:00,x2, A ver los demas,915,13
2019-03-28,22:04:00,x4, Llegando amigos,946,13
2019-03-28,22:05:00,x2, Que bien,947,13
2019-03-28,22:21:00,x6," Ya, tiene como media hora",963,13
2019-03-28,22:23:00,x4, <Multimedia omitido>,965,13
2019-03-28,23:52:00,x5, Desde hace rato 🤭,1054,13
2019-03-29,13:42:00,x2," Amigos, ya no somos pobres jeje",444,13
2019-03-29,13:44:00,x4, <Multimedia omitido>,446,13
2019-03-29,13:47:00,x1, 🙈,449,13
2019-03-29,13:57:00,x5, <Multimedia omitido>,459,13
2019-03-29,14:12:00,x4, A mi aún no,474,13
2019-03-29,14:12:00,x4, 😢😭😭😭,474,13
2019-03-29,14:12:00,x4, Despedida,474,13
2019-03-29,14:12:00,x4, <Multimedia omitido>,474,13
2019-03-29,14:15:00,x7, Jajaja no tengo dinero para irme a mí rancho,477,13
2019-03-29,14:15:00,x7, ☹,477,13
2019-03-29,14:18:00,x5, 🥺,480,13
2019-03-29,15:05:00,x4, Se hará o 🧀,527,13
2019-03-29,15:05:00,x4, ???,527,13
2019-03-29,15:06:00,x4, @5215525638294 ??,528,13
2019-03-29,15:16:00,x3, Vamos a comer!,538,13
2019-03-29,15:16:00,x3, Siempre sí,538,13
2019-03-29,15:17:00,x4, <Multimedia omitido>,539,13
2019-03-29,15:18:00,x4, Amos,540,13
2019-03-29,15:18:00,x3, Me esperan el lobby,540,13
2019-03-29,15:19:00,x4, Btw ya habíamos quedado con Hugo de bajar le decimos que vaya o qué??,541,13
2019-03-29,15:27:00,x4, @5215521392914 te vemos en el 10,549,13
2019-03-29,15:30:00,x6, Sii ya bajo,552,13
2019-03-29,15:45:00,x7, Tienes admiradoras Quique,567,13
2019-03-29,15:46:00,x4, Y si,568,13
2019-03-29,15:46:00,x7, Jejejejeje venían hablando de ti,568,13
2019-03-29,15:46:00,x7, En el dentsubus,568,13
2019-03-29,15:49:00,x6, Déjanos algo Kike!!,571,13
2019-03-29,17:35:00,x3, Quién? 😱,677,13
2019-03-29,17:46:00,x7," Jajaja ya no vi, solo escuché",688,13
2019-03-29,17:46:00,x7, Eran 3 chicas,688,13
2019-03-29,18:01:00,x3, Dejando la buena impresión 😂😂😂,703,13
2019-03-29,18:03:00,x3," Pues chicos, no se dió el momento pero solo quería decirles que todos son un gran equipo, que esa chispa que traen no la pierdan y nos se las quite nadie. Mantengan el grupo unido y sepan que siempre cuentan conmigo. Tal vez fue breve pero los que me conocen de antes saben cómo soy y que siempre que necesiten de mi, estaré para ayudar y lo más importante, siempre soy sincero.",705,13
2019-03-29,18:04:00,x3, Espero encontrarlos más adelante en este pequeño círculo de Data y medios. Se les quiere.,706,13
2019-03-29,18:04:00,x3, Atte.,706,13
2019-03-29,18:04:00,x3, Enrique Navarrete,706,13
2019-03-29,18:05:00,x3," Quien quiera agregarme a FB , estoy como Enrique N Villegas",707,13
2019-03-29,18:05:00,x3," Seguimos en contacto, todos tienen mi número.",707,13
2019-03-29,18:07:00,x2," Quique,  éxito en este nuevo camino y reto que iniciarás, igual no pierdas esa chispa y forma de ser. Igual si algún día necesitas algún consejo u opinión ya sabes que cuentas conmigo",709,13
2019-03-29,18:07:00,x2, Un fuerte abrazo y rompela.,709,13
2019-03-29,18:33:00,x3," Gracias Jo, saben que los consejos y opiniones siempre son bien recibidas",735,13
2019-03-29,18:34:00,x4, Rómpela kike! Te va a ir súper bien.,736,13
2019-03-29,18:34:00,x4, Sabes que cuentas con nuestro apoyo ☺,736,13
2019-03-29,18:45:00,x5, Mucho éxito Kike,747,13
2019-03-29,18:45:00,x5, Los cambios siempre son buenos,747,13
2019-03-29,18:51:00,x1," Señor, un gustazo conocerlo, vamos a extrañar esa voz de locutor saludando por las mañanas a toda la oficina.",753,13
2019-03-29,18:51:00,x1," Mucho éxito con tus nuevos proyectos, cualquier cosa con la que te pueda ayudar, cuenta conmigo.",753,13
2019-03-29,18:51:00,x1, 👍🏼😁,753,13
2019-03-29,23:57:00,x6," Mucho éxito mi estimado amigo!! Me dio gusto ser tu vecino lateral jejeje Seguro habrá oportunidad de seguirnos viendo, cualquier cosa q pueda ayudarte con confianza sabes como contactarme, tarde pero entonado jejeje",1059,13
2019-04-02,00:00:00,x2, Como van amigos?,1062,14
2019-04-02,00:00:00,x4, Ya solo voy yo,1062,14
2019-04-02,00:00:00,x4, Acabo de dejar a Lalo,1062,14
2019-04-02,00:01:00,x6, Ya en casa,1063,14
2019-04-02,00:01:00,x2," Que bien, @5215522630940 como cuanto tiempo más te falta?",1063,14
2019-04-02,00:02:00,x4, Creo que como 30 min 😊,1064,14
2019-04-02,00:02:00,x4, 😿,1064,14
2019-04-02,00:02:00,x4, Lo siento amigos. Ya descansen,1064,14
2019-04-02,00:02:00,x2," Avisas cuando llegues, espero seguir despierto",1064,14
2019-04-02,00:02:00,x6, Gracias por esperarme amigos,1064,14
2019-04-02,00:03:00,x6, Yo seguiré despierto un rato,1065,14
2019-04-02,00:03:00,x4, Si! No se preocupen 😉,1065,14
2019-04-02,00:03:00,x2, Jeje va,1065,14
2019-04-02,00:31:00,x4, Amigos llegué,1093,14
2019-04-02,00:31:00,x4, Descansen,1093,14
2019-04-02,00:31:00,x4, <Multimedia omitido>,1093,14
2019-04-02,00:31:00,x6, Super!!,1093,14
2019-04-02,00:32:00,x6, A dormir 4 horitas,1094,14
2019-04-02,00:32:00,x6, Jejeje,1094,14
2019-04-02,06:19:00,x5, Voy tarde,1,14
2019-04-02,06:19:00,x5, 😴,1,14
2019-04-02,06:19:00,x4, Yo voy bien 👍🏻,1,14
2019-04-02,06:20:00,x5, 😴😭,2,14
2019-04-02,06:21:00,x5, En dónde hace base el camión? (El de Balderas),3,14
2019-04-02,06:21:00,x5, Porque yo creo que no llego al camioncito de dentsu,3,14
2019-04-02,06:22:00,x2, Enfrente de la biblioteca México,4,14
2019-04-02,06:22:00,x5, Y ahí sí agarro lugar ?,4,14
2019-04-02,06:23:00,x5, 🥺,5,14
2019-04-02,06:24:00,x2, Jejeje pues a que hora lo tomarias?,6,14
2019-04-02,06:24:00,x2," Bueno, lo más seguro es que no 😓",6,14
2019-04-02,06:31:00,x5, 😭,13,14
2019-04-02,06:31:00,x5, Es que apenas voy llegando a San Lázaro,13,14
2019-04-02,06:32:00,x2, Jeje,14,14
2019-04-02,06:33:00,x5, O sale otro de Chapultepec?,15,14
2019-04-02,06:33:00,x2, Eso si no se,15,14
2019-04-02,06:36:00,x5, 😵😴,18,14
2019-04-02,13:21:00,x4, Comemos a las 2??,423,14
2019-04-02,13:25:00,x6, 1.40,427,14
2019-04-02,13:25:00,x6, Tengo junta a las 3,427,14
2019-04-02,13:26:00,x4, VA VA,428,14
2019-04-02,13:48:00,x7, Ya están en el 10?,450,14
2019-04-02,13:48:00,x2, No,450,14
2019-04-02,13:48:00,x2, Ya vamos,450,14
2019-04-02,13:48:00,x6, Ay vamos,450,14
2019-04-02,13:49:00,x4, vamaaaa,451,14
2019-04-02,13:49:00,x5, arreeee Lulú!,451,14
2019-04-02,17:37:00,x4, Ya vamos para el camión,679,14
2019-04-02,17:37:00,x4, Que nos espere 😭😭😭,679,14
2019-04-02,17:37:00,x6, Corran,679,14
2019-04-02,17:38:00,x4, El pinché elevador,680,14
2019-04-02,17:38:00,x4, 😢😭😭😭,680,14
2019-04-02,17:38:00,x6, Escaleras,680,14
2019-04-02,17:39:00,x1," Nada como ir en el camión bonito, limpio, alegre, moderno y sobre todo seguro que va al metro Tacubaya. ❤😊",681,14
2019-04-02,17:39:00,x6, Jajajaj,681,14
2019-04-02,17:39:00,x6, Les digo pero no me hacen caso,681,14
2019-04-02,17:39:00,x1, Por si no alcanzan es una buena opción. 😉,681,14
2019-04-02,17:39:00,x6, @5215522630940 corre!!,681,14
2019-04-02,17:39:00,x4, No manchen,681,14
2019-04-02,17:40:00,x4, En cada piso 🙄,682,14
2019-04-02,17:40:00,x4, Ya vamos,682,14
2019-04-02,17:40:00,x4, Que espere,682,14
2019-04-02,17:40:00,x6, Corran jajaja,682,14
2019-04-02,17:42:00,x4, @5215548788768 pensé que estabas aquí en el camioncito,684,14
2019-04-02,17:46:00,x2, Me abandonaron,688,14
2019-04-02,17:46:00,x2, Ya no los volveré a esperar 😰,688,14
2019-04-02,17:46:00,x2, <Multimedia omitido>,688,14
2019-04-02,17:47:00,x6, Te estabas escondiendo John!!!,689,14
2019-04-02,17:47:00,x1, <Multimedia omitido>,689,14
2019-04-02,17:47:00,x6, Te busqué por todo el piso 11,689,14
2019-04-02,17:47:00,x4, No mms yo pensé que ya estaba en el camión por eso corrí,689,14
2019-04-02,17:48:00,x4, <Multimedia omitido>,690,14
2019-04-02,17:48:00,x2, Pensé que eran diferente a mi equipo  😰,690,14
2019-04-02,17:49:00,x4, <Multimedia omitido>,691,14
2019-04-02,17:49:00,x4, Yo estaba en chinga mandando mi base no vi que no estabas,691,14
2019-04-02,17:49:00,x4, <Multimedia omitido>,691,14
2019-04-02,17:49:00,x6, Yo te busqué y no estabas,691,14
2019-04-02,17:49:00,x6, Te mandé mensaje,691,14
2019-04-02,17:50:00,x4, <Multimedia omitido>,692,14
2019-04-02,17:51:00,x5, <Multimedia omitido>,693,14
2019-04-02,17:51:00,x4, Perdónanos Jonás 😢😭😭😭,693,14
2019-04-02,17:51:00,x5, <Multimedia omitido>,693,14
2019-04-02,17:52:00,x4, <Multimedia omitido>,694,14
2019-04-02,17:53:00,x5, 👌,695,14
2019-04-02,17:53:00,x4, <Multimedia omitido>,695,14
2019-04-02,17:54:00,x5, 😵,696,14
2019-04-03,14:20:00,x4, A comer!!!,482,14
2019-04-03,14:20:00,x4, <Multimedia omitido>,482,14
2019-04-03,17:18:00,x2," @5215522630940 Y @5215569301075 Ya nos vamos a ir bajando, si se van a quedar?",660,14
2019-04-03,17:32:00,x1, <Multimedia omitido>,674,14
2019-04-03,17:35:00,x1, ¿Listos para el reto?,677,14
2019-04-03,17:36:00,x6, Listo!!,678,14
2019-04-03,17:36:00,x2, Yo si le entró,678,14
2019-04-03,17:37:00,x6," Vamos 3, jesus, john y yo",679,14
2019-04-03,17:37:00,x6, Quien más?,679,14
2019-04-03,17:39:00,x4, No lo alcanzamos,681,14
2019-04-03,17:40:00,x2, El bus o el reto?,682,14
2019-04-03,17:43:00,x5, El bus,685,14
2019-04-03,17:43:00,x5, Apenas vamos a bajar😭,685,14
2019-04-03,17:44:00,x6, Para más seguro váyanse a tacubaya,686,14
2019-04-03,17:44:00,x5, Comenzamos en abril o nos tenemos que poner al corriente con enero-marzo,686,14
2019-04-03,17:45:00,x2, Lalo se quiere ver rudo,687,14
2019-04-03,17:51:00,x4, Jalisco,693,14
2019-04-03,17:52:00,x5, <Multimedia omitido>,694,14
2019-04-03,17:52:00,x4, Jajajajaja,694,14
2019-04-03,17:52:00,x6, Jajajajja,694,14
2019-04-03,17:52:00,x6, Tengo entendido q empezaríamos desde abril,694,14
2019-04-03,17:53:00,x4, <Multimedia omitido>,695,14
2019-04-03,17:55:00,x2, Mañana cerramos el reto va?,697,14
2019-04-03,17:56:00,x5, 🤔,698,14
2019-04-03,17:56:00,x6, O el viernes desayunando los chilakos q amablemente se ofreció Joany a patrocinarnos,698,14
2019-04-03,17:57:00,x4, <Multimedia omitido>,699,14
2019-04-03,17:57:00,x4, <Multimedia omitido>,699,14
2019-04-03,17:57:00,x6, Jajajajjajaja,699,14
2019-04-03,17:57:00,x5, <Multimedia omitido>,699,14
2019-04-03,17:59:00,x2, x100,701,14
2019-04-03,17:59:00,x6, Gracias @5215522630940!!!,701,14
2019-04-03,18:01:00,x4, <Multimedia omitido>,703,14
2019-04-03,18:01:00,x6, Jajajajjaa,703,14
2019-04-03,18:02:00,x6, Yo q!! Para q andas de dadivosa!! Jajajaja,704,14
2019-04-03,18:03:00,x4, Fue el mendigo de @5215569301075,705,14
2019-04-03,18:03:00,x5, 🙊,705,14
2019-04-03,18:03:00,x6, Ahh pues entonces los paga @5215569301075,705,14
2019-04-03,18:03:00,x6, Cuando se presta un equipo se transfieren todos los beneficios y responsabilidades,705,14
2019-04-03,18:04:00,x6, Incluye correos enviados,706,14
2019-04-03,18:04:00,x4, Jajajajaja,706,14
2019-04-03,18:04:00,x4, Si si,706,14
2019-04-03,18:04:00,x6," Q pena, todos estos días dándote las gracias @5215522630940 cuando debía agradecer a @5215569301075",706,14
2019-04-03,18:04:00,x6, Muchas gracias Lalo!!! Detallazo caray!!!,706,14
2019-04-03,18:04:00,x5, <Multimedia omitido>,706,14
2019-04-04,08:02:00,x4, Donde estan?,104,14
2019-04-04,08:03:00,x6, En las aguas,105,14
2019-04-04,08:03:00,x6, De john,105,14
2019-04-04,08:03:00,x6, 1,105,14
2019-04-04,08:03:00,x4, Ah va va,105,14
2019-04-04,08:03:00,x4, <Multimedia omitido>,105,14
2019-04-04,08:35:00,x4, <Multimedia omitido>,137,14
2019-04-04,08:36:00,x5, 😂😂,138,14
2019-04-04,08:37:00,x6, 🤣🤣,139,14
2019-04-04,10:12:00,x5, Oigan,234,14
2019-04-04,10:12:00,x5, Me pueden traer mí iPod,234,14
2019-04-04,10:12:00,x5, Porfa,234,14
2019-04-04,10:12:00,x5, Está en mi lugar,234,14
2019-04-04,14:38:00,x4, <Multimedia omitido>,500,14
2019-04-04,14:39:00,x5, 😵,501,14
2019-04-04,14:40:00,x7, 😂,502,14
2019-04-04,14:40:00,x7, Se alburean solos jeje,502,14
2019-04-04,14:40:00,x4, <Multimedia omitido>,502,14
2019-04-04,14:40:00,x6, Jajajaja,502,14
2019-04-04,15:53:00,x5, <Multimedia omitido>,575,14
2019-04-04,15:56:00,x2, Jejejeje,578,14
2019-04-04,16:32:00,x4, Jajajajaja les pegan,614,14
2019-04-04,16:33:00,x7, Va a llover,615,14
2019-04-04,16:33:00,x7, O es contaminación?,615,14
2019-04-04,16:38:00,x4, 🤷🏻‍♀,620,14
2019-04-04,16:42:00,x5, los dos ,624,14
2019-04-04,16:45:00,x1, Va a llover contaminación,627,14
2019-04-04,16:45:00,x4, Ya mejor vámonos,627,14
2019-04-04,17:00:00,x7, Jajaja,642,14
2019-04-04,17:06:00,x4, <Multimedia omitido>,648,14
2019-04-04,17:25:00,x4, Ya o que???,667,14
2019-04-04,18:46:00,x6, Ya va a pagar el boss los churros,748,14
2019-04-04,18:46:00,x1, 🙌🏼🙌🏼🙌🏼🙌🏼,748,14
2019-04-04,18:47:00,x1, ¿Ahorita? ¿No regresamos?,749,14
2019-04-04,18:47:00,x6, Pero ahorita jajaja,749,14
2019-04-04,18:47:00,x1, Vaaaaa,749,14
2019-04-04,18:47:00,x1, Mejor me espero a mañana los chilaquiles,749,14
2019-04-04,18:48:00,x6, X2,750,14
2019-04-04,18:48:00,x6, Ahh pero sigo acá jajaja,750,14
2019-04-04,18:51:00,x2, Jejeje,753,14
2019-04-04,19:06:00,x5, 😵,768,14
2019-04-04,19:09:00,x4, <Multimedia omitido>,771,14
2019-04-05,07:09:00,x5," Ya no alcancé a llegar al camión pero ya voy en el de Balderas, me esperan a los chilaquiles?",51,14
2019-04-05,07:10:00,x5, ,52,14
